Name,Research unit(s),URL,Research
Anne Cheng,English,https://collaborate.princeton.edu/en/persons/anne-cheng,English
Katie Chenoweth,French & Italian,https://collaborate.princeton.edu/en/persons/katie-chenoweth,French Italian
Divya Cherian,History,https://collaborate.princeton.edu/en/persons/divya-cherian,History
Lawrence W. Cheuk,Physics,https://collaborate.princeton.edu/en/persons/lawrence-w-cheuk,Physics
Caroline Cheung,Classics,https://collaborate.princeton.edu/en/persons/caroline-cheung,Classics
Andrew Chignell,Religion,https://collaborate.princeton.edu/en/persons/andrew-chignell,Religion
Paul J. Chirik,Chemistry,https://collaborate.princeton.edu/en/persons/paul-j-chirik,Chemistry
Ksenia Chizhova,East Asian Studies,https://collaborate.princeton.edu/en/persons/ksenia-chizhova,East Asian Studies
Carolyn Choi,Effron Center Study of America,https://collaborate.princeton.edu/en/persons/carolyn-choi,Effron Center Study of America
Stephen Y. Chou,"Electrical and Computer Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/stephen-y-chou,"Electrical and Computer Engineering, Princeton Materials Institute"
Edgar Yazid Choueiri,Mechanical & Aerospace Engineering,https://collaborate.princeton.edu/en/persons/edgar-yazid-choueiri,Mechanical Aerospace Engineering
Heather Christie,Molecular Biology,https://collaborate.princeton.edu/en/persons/heather-christie,Molecular Biology
Maria Chudnovsky,Mathematics,https://collaborate.princeton.edu/en/persons/maria-chudnovsky,Mathematics
Steven Chung,East Asian Studies,https://collaborate.princeton.edu/en/persons/steven-chung,East Asian Studies
Christopher F. Chyba,"Princeton School of Public and International Affairs, Astrophysical Sciences",https://collaborate.princeton.edu/en/persons/christopher-f-chyba,"Princeton School of Public and International Affairs, Astrophysical Sciences"
Gabriel Maurice Alexander Citron,Religion,https://collaborate.princeton.edu/en/persons/gabriel-maurice-alexander-citron,Religion
Corey Clapp,Chemistry,https://collaborate.princeton.edu/en/persons/corey-clapp,Chemistry
Catherine Clune-Taylor,Gender & Sexuality Studies Pgm,https://collaborate.princeton.edu/en/persons/catherine-clune-taylor,Gender Sexuality Studies Pgm
Fernando Coda Marques,Mathematics,https://collaborate.princeton.edu/en/persons/fernando-coda-marques,Mathematics
Daniel Joseph Cohen,"Mechanical & Aerospace Engineering, Chemical & Biological Engineering, Molecular Biology, Princeton Branch of the Ludwig Institute for Cancer Research, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/daniel-joseph-cohen,"Mechanical Aerospace Engineering, Chemical Biological Engineering, Molecular Biology, Princeton Branch of Ludwig Institute Cancer Research, Princeton Materials Institute"
Jonathan D. Cohen,"Psychology, Center for Statistics & Machine Learning, Princeton Institute for Computational Science and Engineering, Princeton Neuroscience Institute",https://collaborate.princeton.edu/en/persons/jonathan-d-cohen,"Psychology, Center Statistics Machine Learning, Princeton Institute Computational Science and Engineering, Princeton Neuroscience Institute"
Morrel H. Cohen,Chemistry,https://collaborate.princeton.edu/en/persons/morrel-h-cohen,Chemistry
Samuel A. Cohen,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/samuel-a-cohen,Astrophysical Sciences
Andrew Cole,English,https://collaborate.princeton.edu/en/persons/andrew-cole,English
Linda Jane Colley,History,https://collaborate.princeton.edu/en/persons/linda-jane-colley,History
Lindsay Collins,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/lindsay-collins,Princeton Neuroscience Institute
Alin I. Coman,Psychology,https://collaborate.princeton.edu/en/persons/alin-i-coman,Psychology
Benjamin Conisbee Baer,Comparative Literature,https://collaborate.princeton.edu/en/persons/benjamin-conisbee-baer,Comparative Literature
Thomas Donald Conlan,East Asian Studies,https://collaborate.princeton.edu/en/persons/thomas-donald-conlan,East Asian Studies
Dalton Conley,Sociology,https://collaborate.princeton.edu/en/persons/dalton-conley,Sociology
Peter Constantin,"Mathematics, Princeton Institute for Computational Science and Engineering",https://collaborate.princeton.edu/en/persons/peter-constantin,"Mathematics, Princeton Institute Computational Science and Engineering"
Gregory Andrew Conti,Politics,https://collaborate.princeton.edu/en/persons/gregory-andrew-conti,Politics
Jonathan M. Conway,Chemical & Biological Engineering,https://collaborate.princeton.edu/en/persons/jonathan-m-conway,Chemical Biological Engineering
Michael Allan Cook,Near Eastern Studies,https://collaborate.princeton.edu/en/persons/michael-allan-cook,Near Eastern Studies
Joel Cooper,Psychology,https://collaborate.princeton.edu/en/persons/joel-cooper,Psychology
Bradin T. Cormack,English,https://collaborate.princeton.edu/en/persons/bradin-t-cormack,English
Steven Charles Cowley,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/steven-charles-cowley,Astrophysical Sciences
Natalie Cox,"Economics, Bendheim Center for Finance",https://collaborate.princeton.edu/en/persons/natalie-marie-bachas,"Economics, Bendheim Center Finance"
Angela N. H. Creager,History,https://collaborate.princeton.edu/en/persons/angela-n-h-creager,History
Ileana M. Cristea,"Molecular Biology, Lewis-Sigler Institute for Integrative Genomics",https://collaborate.princeton.edu/en/persons/ileana-m-cristea,"Molecular Biology, Lewis-Sigler Institute Integrative Genomics"
Molly J Crockett,Psychology,https://collaborate.princeton.edu/en/persons/molly-j-crockett,Psychology
Janet Marion Currie,"Princeton School of Public and International Affairs, Economics",https://collaborate.princeton.edu/en/persons/janet-marion-currie,"Princeton School of Public and International Affairs, Economics"
Mihalis Dafermos,"Mathematics, Physics",https://collaborate.princeton.edu/en/persons/mihalis-dafermos,"Mathematics, Physics"
Marcel Dall'Agnol,Computer Science,https://collaborate.princeton.edu/en/persons/marcel-dallagnol,Computer Science
Rafaela M. Dancygier,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/rafaela-m-dancygier,Princeton School of Public and International Affairs
John David Danner,Keller Center for Innovation in Engineering Education,https://collaborate.princeton.edu/en/persons/john-david-danner,Keller Center Innovation in Engineering Education
Anthar Saqer Darwish,Molecular Biology,https://collaborate.princeton.edu/en/persons/anthar-saqer-darwish,Molecular Biology
Sujit Sankar Datta,"Chemical & Biological Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/sujit-sankar-datta,"Chemical Biological Engineering, Princeton Materials Institute"
Emily Catherine Davidson,Chemical & Biological Engineering,https://collaborate.princeton.edu/en/persons/emily-catherine-davidson,Chemical Biological Engineering
Nathaniel Douglass Daw,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/nathaniel-douglass-daw,Princeton Neuroscience Institute
Pablo Gaston Debenedetti,"Chemical & Biological Engineering, Princeton Materials Institute, High Meadows Environmental Institute, Princeton Institute for Computational Science and Engineering, School of Engineering & Applied Science",https://collaborate.princeton.edu/en/persons/pablo-gaston-debenedetti,"Chemical Biological Engineering, Princeton Materials Institute, High Meadows Environmental Institute, Princeton Institute Computational Science and Engineering, School of Engineering Applied Science"
Luc Deike,"Mechanical & Aerospace Engineering, Civil & Environmental Engineering, High Meadows Environmental Institute, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/luc-deike,"Mechanical Aerospace Engineering, Civil Environmental Engineering, High Meadows Environmental Institute, Princeton Materials Institute"
Nathalie P. de Leon,Electrical and Computer Engineering,https://collaborate.princeton.edu/en/persons/nathalie-p-de-leon,Electrical and Computer Engineering
Rachael Ziady DeLue,Art and Archaeology,https://collaborate.princeton.edu/en/persons/rachael-ziady-delue,Art and Archaeology
Jia Deng,"Computer Science, Center for Statistics & Machine Learning",https://collaborate.princeton.edu/en/persons/jia-deng,"Computer Science, Center Statistics Machine Learning"
Jie Deng,Geosciences,https://collaborate.princeton.edu/en/persons/jie-deng,Geosciences
Donnacha Matthew Dennehy,Music,https://collaborate.princeton.edu/en/persons/donnacha-matthew-dennehy,Music
Ellora Derenoncourt,Economics,https://collaborate.princeton.edu/en/persons/ellora-derenoncourt,Economics
Matthew Desmond,Sociology,https://collaborate.princeton.edu/en/persons/matthew-desmond,Sociology
Curtis A. Deutsch,Geosciences,https://collaborate.princeton.edu/en/persons/curtis-a-deutsch,Geosciences
Danelle Devenport,Molecular Biology,https://collaborate.princeton.edu/en/persons/danelle-devenport,Molecular Biology
Maria A. DiBattista,English,https://collaborate.princeton.edu/en/persons/maria-a-dibattista,English
Bradley Horatio Dickerson,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/bradley-horatio-dickerson,Princeton Neuroscience Institute
Adji Bousso Dieng,Computer Science,https://collaborate.princeton.edu/en/persons/adji-bousso-dieng,Computer Science
Jacob S. Dlamini,History,https://collaborate.princeton.edu/en/persons/jacob-s-dlamini,History
Andy P. Dobson,"Ecology & Evolutionary Biology, High Meadows Environmental Institute, Lewis-Sigler Institute for Integrative Genomics",https://collaborate.princeton.edu/en/persons/andy-p-dobson,"Ecology Evolutionary Biology, High Meadows Environmental Institute, Lewis-Sigler Institute Integrative Genomics"
Lynda G. Dodd,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/lynda-g-dodd,Princeton School of Public and International Affairs
Arthur Dogariu,Mechanical & Aerospace Engineering,https://collaborate.princeton.edu/en/persons/arthur-dogariu,Mechanical Aerospace Engineering
Brigid Doherty,German,https://collaborate.princeton.edu/en/persons/brigid-doherty,German
Jeff Dolven,English,https://collaborate.princeton.edu/en/persons/jeff-dolven,English
Marc Domingo Gygax,Classics,https://collaborate.princeton.edu/en/persons/marc-domingo-gygax,Classics
Robert M. Dondero,Computer Science,https://collaborate.princeton.edu/en/persons/robert-m-dondero,Computer Science
Bruce T. Draine,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/bruce-t-draine,Astrophysical Sciences
Susana Draper,Comparative Literature,https://collaborate.princeton.edu/en/persons/susana-draper,Comparative Literature
Lidal Dror,Philosophy,https://collaborate.princeton.edu/en/persons/lidal-dror,Philosophy
Thomas S. Duffy,"Geosciences, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/thomas-s-duffy,"Geosciences, Princeton Materials Institute"
Mitchell Duneier,Sociology,https://collaborate.princeton.edu/en/persons/mitchell-duneier,Sociology
Jo Dunkley,"Physics, Astrophysical Sciences",https://collaborate.princeton.edu/en/persons/jo-dunkley,"Physics, Astrophysical Sciences"
Pascaline Dupas,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/pascaline-dupas,Princeton School of Public and International Affairs
Zeev Dvir,"Computer Science, Mathematics",https://collaborate.princeton.edu/en/persons/zeev-dvir,"Computer Science, Mathematics"
Yaacob Dweck,History,https://collaborate.princeton.edu/en/persons/yaacob-dweck,History
Kathryn Jo Edin,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/kathryn-jo-edin,Princeton School of Public and International Affairs
Laura F. Edwards,History,https://collaborate.princeton.edu/en/persons/laura-f-edwards,History
Adam Newman Elga,Philosophy,https://collaborate.princeton.edu/en/persons/adam-newman-elga,Philosophy
Elizabeth Ellis,History,https://collaborate.princeton.edu/en/persons/elizabeth-ellis,History
G. J. Peter Elmer,Physics,https://collaborate.princeton.edu/en/persons/g-j-peter-elmer,Physics
Karen Renee Emmerich,Comparative Literature,https://collaborate.princeton.edu/en/persons/karen-renee-emmerich,Comparative Literature
Esteban A. Engel,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/esteban-a-engel,Princeton Neuroscience Institute
Tatiana Engel,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/tatiana-engel,Princeton Neuroscience Institute
Louis Esser,Mathematics,https://collaborate.princeton.edu/en/persons/louis-esser,Mathematics
Hannah Essien,Prnctn Inst Intl & Regnl Studs,https://collaborate.princeton.edu/en/persons/hannah-essien,Prnctn Inst Intl Regnl Studs
Benjamin Eysenbach,Computer Science,https://collaborate.princeton.edu/en/persons/benjamin-eysenbach,Computer Science
Annegret Lea Falkner,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/annegret-lea-falkner,Princeton Neuroscience Institute
Jianqing Fan,"Operations Research & Financial Engineering, Bendheim Center for Finance, Center for Statistics & Machine Learning, Economics",https://collaborate.princeton.edu/en/persons/jianqing-fan,"Operations Research Financial Engineering, Bendheim Center Finance, Center Statistics Machine Learning, Economics"
Fauzia Farooqui,Prnctn Inst Intl & Regnl Studs,https://collaborate.princeton.edu/en/persons/fauzia-farooqui,Prnctn Inst Intl Regnl Studs
Katie Farris,Lewis Center for the Arts,https://collaborate.princeton.edu/en/persons/katie-farris,Lewis Center Arts
Charles Louis Fefferman,Mathematics,https://collaborate.princeton.edu/en/persons/charles-louis-fefferman,Mathematics
Andrew Mark Feldherr,Classics,https://collaborate.princeton.edu/en/persons/andrew-mark-feldherr,Classics
Liane Marquis Feldman,Religion,https://collaborate.princeton.edu/en/persons/liane-marquis-feldman,Religion
Philip George Felton,Molecular Biology,https://collaborate.princeton.edu/en/persons/philip-george-felton,Molecular Biology
Jaime Fernandez Fisac,Electrical and Computer Engineering,https://collaborate.princeton.edu/en/persons/jaime-fernandez-fisac,Electrical and Computer Engineering
Patricia Fernandez-Kelly,Sociology,https://collaborate.princeton.edu/en/persons/patricia-fernandez-kelly,Sociology
Jonathan Michael Fickenscher,Mathematics,https://collaborate.princeton.edu/en/persons/jonathan-michael-fickenscher,Mathematics
Kai Alexander Filsinger,Princeton Materials Institute,https://collaborate.princeton.edu/en/persons/kai-alexander-filsinger,Princeton Materials Institute
Adam Finkelstein,Computer Science,https://collaborate.princeton.edu/en/persons/adam-finkelstein,Computer Science
Nathaniel J. Fisch,"Astrophysical Sciences, Mechanical & Aerospace Engineering",https://collaborate.princeton.edu/en/persons/nathaniel-j-fisch,"Astrophysical Sciences, Mechanical Aerospace Engineering"
Robert S. Fish,Computer Science,https://collaborate.princeton.edu/en/persons/robert-s-fish,Computer Science
Jason W. Fleischer,"Electrical and Computer Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/jason-w-fleischer,"Electrical and Computer Engineering, Princeton Materials Institute"
Marc Fleurbaey,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/marc-fleurbaey,Princeton School of Public and International Affairs
Harriet Isabel Flower,Classics,https://collaborate.princeton.edu/en/persons/harriet-isabel-flower,Classics
Michael A. Flower,Classics,https://collaborate.princeton.edu/en/persons/michael-a-flower,Classics
Ruth Catherine Fong,Computer Science,https://collaborate.princeton.edu/en/persons/ruth-catherine-fong,Computer Science
Devin A. Fore,German,https://collaborate.princeton.edu/en/persons/devin-a-fore,German
Hal Foster,Art and Archaeology,https://collaborate.princeton.edu/en/persons/hal-foster,Art and Archaeology
Sonja Angelique Francis,Chemistry,https://collaborate.princeton.edu/en/persons/sonja-angelique-francis,Chemistry
Pietro Frassica,French & Italian,https://collaborate.princeton.edu/en/persons/pietro-frassica,French Italian
Elena Fratto,Slavic Lang & Literatures,https://collaborate.princeton.edu/en/persons/elena-fratto,Slavic Lang Literatures
