Name,Research unit(s),URL
Matija Bucic,Mathematics,https://collaborate.princeton.edu/en/persons/matija-bucic
David Builes,Philosophy,https://collaborate.princeton.edu/en/persons/david-builes
Rebecca D. Burdine,Molecular Biology,https://collaborate.princeton.edu/en/persons/rebecca-d-burdine
John P. Burgess,Philosophy,https://collaborate.princeton.edu/en/persons/john-p-burgess
D. Graham Burnett,History,https://collaborate.princeton.edu/en/persons/d-graham-burnett
Adam S. Burrows,"Astrophysical Sciences, Princeton Institute for Computational Science and Engineering",https://collaborate.princeton.edu/en/persons/adam-s-burrows
Timothy J. Buschman,Psychology,https://collaborate.princeton.edu/en/persons/timothy-j-buschman
Eduardo Lujan Cadava,English,https://collaborate.princeton.edu/en/persons/eduardo-lujan-cadava
Sebastian Caldas,Computer Science,https://collaborate.princeton.edu/en/persons/sebastian-caldas
Curtis Gove Callan,"Physics, High Meadows Environmental Institute, Lewis-Sigler Institute for Integrative Genomics",https://collaborate.princeton.edu/en/persons/curtis-gove-callan
Charles M. Cameron,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/charles-m-cameron
Shane Cornell Campbell-Staton,"Ecology & Evolutionary Biology, Princeton Branch of the Ludwig Institute for Cancer Research",https://collaborate.princeton.edu/en/persons/shane-cornell-campbell-staton
Tina Marie Campt,Art and Archaeology,https://collaborate.princeton.edu/en/persons/tina-marie-campt
Margot Canaday,History,https://collaborate.princeton.edu/en/persons/margot-canaday
Vera Silvina Candiani,History,https://collaborate.princeton.edu/en/persons/vera-silvina-candiani
Roberto Car,"Chemistry, Physics, Princeton Institute for Computational Science and Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/roberto-car
Jannette Carey,"Chemistry, Molecular Biology, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/jannette-carey
Rebecca Michelle Carey,Psychology,https://collaborate.princeton.edu/en/persons/rebecca-michelle-carey
Rene A. Carmona,"Operations Research & Financial Engineering, Bendheim Center for Finance, High Meadows Environmental Institute, Mathematics, Princeton Institute for Computational Science and Engineering",https://collaborate.princeton.edu/en/persons/rene-a-carmona
Allison Carruth,Effron Center Study of America,https://collaborate.princeton.edu/en/persons/allison-carruth
Emily Ann Carter,Andlinger Center for Energy & the Environment,https://collaborate.princeton.edu/en/persons/emily-ann-carter
Natalia Castro Picon,Spanish & Portuguese,https://collaborate.princeton.edu/en/persons/natalia-castro-picon
Matias Damian Cattaneo,"Operations Research & Financial Engineering, Center for Statistics & Machine Learning",https://collaborate.princeton.edu/en/persons/matias-damian-cattaneo
Robert Joseph Cava,"Chemistry, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/robert-joseph-cava
Michael Anthony Celia,"Civil & Environmental Engineering, High Meadows Environmental Institute",https://collaborate.princeton.edu/en/persons/michael-anthony-celia
Miguel Angel Centeno,Sociology,https://collaborate.princeton.edu/en/persons/miguel-angel-centeno
Jay Cephas,,https://collaborate.princeton.edu/en/persons/jay-cephas
Mark Cerenzia,Operations Research & Financial Engineering,https://collaborate.princeton.edu/en/persons/mark-cerenzia
Rafael Cesar,Spanish & Portuguese,https://collaborate.princeton.edu/en/persons/rafael-cesar
Flora Champy,French & Italian,https://collaborate.princeton.edu/en/persons/flora-champy
Michelle M. W. Chan,Molecular Biology,https://collaborate.princeton.edu/en/persons/michelle-m-w-chan
Ellen Bell Chances,Slavic Lang & Literatures,https://collaborate.princeton.edu/en/persons/ellen-bell-chances
Michelle C. Chang,Chemistry,https://collaborate.princeton.edu/en/persons/michelle-c-chang
Sun-Yung Alice Chang,Mathematics,https://collaborate.princeton.edu/en/persons/sun-yung-alice-chang
Sarangan Lakshminarasimha Chari,Chemistry,https://collaborate.princeton.edu/en/persons/sarangan-lakshminarasimha-chari
Sylvain Chassang,Economics,https://collaborate.princeton.edu/en/persons/sylvain-chassang
Zahid Rafiq Chaudhary,English,https://collaborate.princeton.edu/en/persons/zahid-rafiq-chaudhary
Saptarshi Chaudhuri,Physics,https://collaborate.princeton.edu/en/persons/saptarshi-chaudhuri
